SAMPLE ID	FS	PFS
102C	0.00599232283464567	0.00270816326530612
103C	0.00528188976377953	0.00254948979591837
106C	0.016861811023622	0.00859823129251701
109C	0.0132066929133858	0.00579636054421769
112C	4.42913385826772e-05	2.86989795918367e-05
113C	0.00218090551181102	0.00141313775510204
117C	0	0
121C	0.00164763779527559	0.00106760204081633
122C	0.0187383858267717	0.00887380952380952
127C	0.0130257874015748	0.00556954931972789
128C	0.0422222440944882	0.0212533843537415
12C	0.0226661417322835	0.00992659013605442
13	0.0224641732283465	0.00959367346938775
130C	0.00148602362204724	0.000962882653061225
131C	0.0162862204724409	0.00813323129251701
133C	0.00107204724409449	0.000694642857142857
136C	0.0336496062992126	0.0153149234693878
139C	0.0113287401574803	0.00489498299319728
141C	0.00436161417322835	0.00188409863945578
142C	0.00686279527559055	0.00357048469387755
143C	0	0
147C	0.00842145669291339	0.00525140306122449
148C	0.00706555118110236	0.00376466836734694
150C	0.0249620078740157	0.012119175170068
15514	0.00230334645669291	0.00149247448979592
15518	0.00110846456692913	0.000718239795918367
15529	0.0254759842519685	0.0114682653061224
15530	0.040313188976378	0.0189960884353741
15545	7.71653543307087e-05	5e-05
15554	0.0232385826771654	0.0111058673469388
15575	0.0156925196850394	0.010168112244898
157C	0.0315511811023622	0.0145369982993197
159C	0.0299547244094488	0.0141498129251701
161C	0.00748070866141732	0.00390756802721088
162C	7.1259842519685e-05	4.61734693877551e-05
164C	2.16535433070866e-06	1.4030612244898e-06
169C	0.0120832677165354	0.00551152210884354
170C	0.00406732283464567	0.00175701530612245
1C	0.0115523622047244	0.00519261054421769
21C	0.00780866141732283	0.00367359693877551
23	0.0156665354330709	0.00702921768707483
25	0.0153023622047244	0.0089078656462585
25C	0	0
29C	0.00695393700787402	0.00450586734693877
36C	0.00654350393700787	0.00324829931972789
38C	0.00647834645669291	0.00304800170068027
51C	0.0171336614173228	0.00936215986394558
551432	0	0
56C	0.0068988188976378	0.00349774659863946
59C	0.0306498031496063	0.0146792431972789
69C	0.0352877952755906	0.0161958503401361
6C	0.00225846456692913	0.00146339285714286
76C	0.0146218503937008	0.00713933673469388
80C	0.0386295275590551	0.0180850850340136
90C	0.0138840551181102	0.00759948979591837
93C	0.0234576771653543	0.0135092261904762
96C	0.00019251968503937	0.000124744897959184
CLT1	0.000823818897637795	0.000533801020408163
HS09	0.000508858267716535	0.000329719387755102
HS10	0.00323425196850394	0.00139727891156463
HS8	0.0214647637795276	0.012446130952381
