SAMPLE ID	FS	PFS
102C	0.00328326771653543	0.00130599489795918
103C	0.00509724409448819	0.00214938775510204
106C	0.0018748031496063	0.000885442176870748
109C	0.000199015748031496	0.000112627551020408
112C	0	0
113C	0.00459625984251969	0.00178691326530612
117C	0.00215334645669291	0.0013952806122449
121C	0.0243933070866142	0.0120949234693878
122C	0.00451929133858268	0.00186948979591837
127C	0.000309645669291339	0.000200637755102041
128C	0.00619330708661417	0.00247349489795918
12C	0.027923031496063	0.0143602721088435
13	5.09842519685039e-05	3.30357142857143e-05
130C	0.00652775590551181	0.00406760204081633
131C	0.0225072834645669	0.0110192261904762
133C	7.8740157480315e-06	5.05952380952381e-06
136C	0.00053503937007874	0.000346683673469388
139C	0.00901751968503937	0.00388997448979592
141C	0.000118110236220472	7.65306122448979e-05
142C	0.00844685039370079	0.00547321428571429
143C	0.00452755905511811	0.0018340306122449
147C	4.52755905511811e-06	2.93367346938775e-06
148C	0.000257086614173228	0.000166581632653061
150C	0.0149175196850394	0.00786016156462585
15514	0.000723622047244094	0.000468877551020408
15518	0.00522165354330709	0.0021877380952381
15529	0.00970944881889764	0.00629132653061225
15530	0.0120994094488189	0.00783992346938775
15545	8.44488188976378e-05	5.4719387755102e-05
15548	0.00118287401574803	0.000766454081632653
15554	0.00714803149606299	0.00284770408163265
15575	0.00842854330708661	0.00546130952380952
157C	0.014113188976378	0.00755247448979592
159C	0.0108397637795276	0.00623989795918367
161C	0.000621062992125984	0.000402423469387755
162C	0.00592893700787402	0.00250992346938776
164C	7.40157480314961e-05	4.79591836734694e-05
169C	0.00892047244094488	0.0056733843537415
170C	0.000407874015748031	0.000264243197278912
1C	0.00334507874015748	0.00182483843537415
21C	0.00360177165354331	0.00146483843537415
23	0.00841181102362205	0.00545051020408163
25	0.00786614173228346	0.0050969387755102
25C	0.00683208661417323	0.00275542517006803
29C	0.00653720472440945	0.00262461734693878
36C	0.000887992125984252	0.000461692176870748
38C	1.5748031496063e-06	1.02040816326531e-06
51C	0.00131791338582677	0.000853954081632653
551432	0	0
56C	6.49606299212598e-06	4.12414965986395e-06
59C	0.000823622047244094	0.000533673469387755
69C	0.0139041338582677	0.00796933673469388
6C	0.000509055118110236	0.00032984693877551
76C	0.00205629921259843	0.000930561224489796
80C	0.00497677165354331	0.00295144557823129
90C	0.00629862204724409	0.00311208333333333
93C	0.000138779527559055	8.99234693877551e-05
96C	0.000438779527559055	0.000284311224489796
BWT20	1.24015748031496e-05	8.03571428571429e-06
CLT1	0.000109645669291339	7.10459183673469e-05
HS09	0.0078740157480315	0.00510204081632653
HS10	0	0
HS8	0	0
