SAMPLE ID	FS	PFS
102C	0.0221122047244094	0.00971340986394558
103C	0.0172442913385827	0.0073324574829932
106C	0.0226116141732283	0.0105878656462585
109C	0.0141992125984252	0.00779252551020408
112C	0.019836811023622	0.00904170918367347
113C	0.0158820866141732	0.00687780612244898
117C	0.00529625984251969	0.00209579081632653
121C	0.0558196850393701	0.027001130952381
122C	0.0260860236220472	0.0128384863945578
127C	0.0170350393700787	0.00782934523809524
128C	0.0191588582677165	0.00799866496598639
12C	0.0505200787401575	0.0235392346938776
13	0.0155391732283465	0.00728227040816327
130C	0.00780157480314961	0.00505229591836735
131C	0.0338379921259842	0.0167473044217687
133C	0.0112360236220472	0.00539299319727891
136C	0.00241594488188976	0.0010890731292517
139C	0.0195824803149606	0.00826262755102041
141C	0.00136279527559055	0.000883035714285714
142C	0.015876968503937	0.0100301445578231
143C	0.0262647637795276	0.0121049744897959
147C	0.0241413385826772	0.011795612244898
148C	0.0134612204724409	0.00647094387755102
150C	0.0290133858267717	0.0130354336734694
15514	0.0447454724409449	0.0204639115646259
15518	0.0164120078740157	0.00770784863945578
15529	0.0412096456692913	0.020005824829932
15530	0.0385299212598425	0.0201968367346939
15545	0.0176629921259842	0.00838923469387755
15548	0.0256763779527559	0.0131340391156463
15554	0.0438009842519685	0.0206231207482993
15575	0.0294108267716535	0.0154541156462585
157C	0.0479537401574803	0.0237595918367347
159C	0.00615944881889764	0.00368801020408163
161C	0.021773031496063	0.0106307738095238
162C	0.0352322834645669	0.0158940731292517
164C	0.0119816929133858	0.00584284863945578
169C	0.0453763779527559	0.021354387755102
170C	0.0156200787401575	0.00709285714285714
1C	0.021517125984252	0.00977265306122449
21C	0.00915374015748032	0.00405858843537415
23	0.0390647637795276	0.0189447023809524
25	0.018017125984252	0.00916359693877551
25C	0.0260517716535433	0.0124067602040816
29C	0.00744251968503937	0.00323229591836735
36C	0.0262988188976378	0.0126013180272109
38C	0.000138188976377953	8.95408163265306e-05
51C	0.0170887795275591	0.00701102891156463
551432	0.0108273622047244	0.00535772108843537
56C	0.007475	0.00322961734693878
59C	1.00393700787402e-05	6.50510204081633e-06
69C	0.0588692913385827	0.029032925170068
6C	0.0452155511811024	0.0210598894557823
76C	0.0100836614173228	0.00495923469387755
80C	0.010228937007874	0.00594902210884354
90C	0.00363070866141732	0.00164035714285714
93C	0.00586062992125984	0.00303880102040816
96C	0.0135751968503937	0.00599857993197279
BWT20	0.000443307086614173	0.000287244897959184
CLT1	0.00287086614173228	0.00144417517006803
HS09	0.0163659448818898	0.010471981292517
HS10	0.000853740157480315	0.000382610544217687
HS8	0.00435216535433071	0.00188001700680272
