SAMPLE ID	FS	PFS
07B	0.0130860236220472	0.00547530612244898
102C	0.0799637795275591	0.0457146513605442
103C	0.0299998031496063	0.0133105527210884
106C	0.0711643700787402	0.0392151360544218
109C	0.0608765748031496	0.0322292772108844
112C	0.0492720472440945	0.0209640136054422
113C	0.0364996062992126	0.0204169557823129
117C	0.0390366141732283	0.0184765136054422
121C	0.0859118110236221	0.0466452636054422
122C	0.0715525590551181	0.0402664370748299
127C	0.0512616141732283	0.0235297619047619
128C	0.0469913385826772	0.0228596003401361
12C	0.0849169291338583	0.0489138775510204
13	0.0736590551181102	0.0414500510204082
130C	0.0442549212598425	0.0239502295918367
131C	0.0671358267716535	0.0349992006802721
133C	0.0666015748031496	0.0346720068027211
136C	0.0471399606299213	0.0236091241496599
139C	0.0367015748031496	0.0165747534013605
141C	0.0255100393700787	0.0112271513605442
142C	0.054490157480315	0.0296704591836735
143C	0.082736811023622	0.0468598639455782
147C	0.0369529527559055	0.0159118962585034
148C	0.0578885826771654	0.030034387755102
150C	0.0607635826771654	0.0303674659863946
15514	0.0594700787401575	0.0302887414965986
15518	0.0881738188976378	0.0505134098639456
15529	0.0875285433070866	0.0504853656462585
15530	0.0909427165354331	0.0528553741496599
15545	0.0521968503937008	0.0223989795918367
15548	0.073096062992126	0.0371196598639456
15554	0.0868458661417323	0.0463241326530612
15575	0.0724188976377953	0.0379339115646258
157C	0.0791795275590551	0.0446110799319728
159C	0.080619094488189	0.0460132823129252
161C	0.0682450787401575	0.0341058928571429
162C	0.0522978346456693	0.0223448639455782
164C	0.0818864173228347	0.0464007142857143
169C	0.0640427165354331	0.0337628401360544
170C	0.0612301181102362	0.0302156462585034
1C	0.0722956692913386	0.0374421003401361
21C	0.0260856299212598	0.0111682653061224
23	0.0969452755905512	0.0564574489795918
25	0.063925	0.0328858163265306
25C	0.0648767716535433	0.0341140731292517
29C	0.029959842519685	0.018219362244898
36C	0.0516064960629921	0.022044481292517
38C	0.0540472440944882	0.0231253486394558
51C	0.0674659448818898	0.0351336479591837
56C	0.0567665354330709	0.0280814370748299
59C	0.0381517716535433	0.0166263350340136
69C	0.080019094488189	0.0464284608843537
6C	0.0609663385826772	0.0298156462585034
76C	0.0395324803149606	0.0188659948979592
80C	0.050746062992126	0.0222433928571429
90C	0.0470663385826772	0.0200509098639456
93C	0.0333742125984252	0.0147925680272109
96C	0.0326370078740157	0.0143559183673469
BWT20	0.000801771653543307	0.000333018707482993
CLT1	0.0267661417322835	0.0116236479591837
HS09	0.0385462598425197	0.0214336479591837
HS10	0.00759744094488189	0.00329914965986395
HS8	0.00106653543307087	0.000518792517006803
