SAMPLE ID	FS	PFS
102C	0.0078740157480315	0.00510204081632653
103C	0.00825255905511811	0.00534732142857143
106C	0.00922027559055118	0.00597436224489796
109C	0.0159700787401575	0.0103479591836735
112C	0.00789291338582677	0.00511428571428571
113C	0.0078740157480315	0.00510204081632653
117C	0.0078740157480315	0.00510204081632653
121C	0.0157437007874016	0.0102012755102041
122C	0.00819586614173228	0.00531058673469388
127C	0.018538188976378	0.0120119897959184
128C	0.0157767716535433	0.0102217346938776
12C	0.0079496062992126	0.00515102040816327
13	0.0160616141732283	0.0104072704081633
130C	0.0078757874015748	0.0051031887755102
131C	0.00882933070866142	0.00572104591836735
133C	0.0078740157480315	0.00510204081632653
136C	0.00798641732283465	0.00517487244897959
139C	0.00789153543307087	0.00511339285714286
141C	0.00793090551181102	0.00513890306122449
142C	0.015748031496063	0.0102040816326531
143C	0.00843799212598425	0.00546747448979592
147C	0.0145779527559055	0.00944591836734694
148C	0.0158094488188976	0.0102438775510204
150C	0.00993248031496063	0.00643584183673469
15514	0.00818307086614173	0.00530229591836735
15518	0.00788346456692914	0.00510816326530612
15529	0.00794586614173228	0.00514859693877551
15530	0.00874232283464567	0.00566466836734694
15545	0.00808326771653543	0.00523762755102041
15548	0.00855452755905512	0.00554298469387755
15554	0.00823287401574803	0.00533456632653061
15575	0.0158425196850394	0.010265306122449
157C	0.015748031496063	0.0102040816326531
159C	0.008475	0.00549145408163265
161C	0.0078740157480315	0.00510204081632653
162C	0.00787696850393701	0.00510395408163265
164C	0.00898307086614173	0.00582066326530612
169C	0.0080003937007874	0.00518392857142857
170C	0.00822677165354331	0.00533061224489796
1C	0.00788169291338583	0.00510701530612245
21C	0.0078740157480315	0.00510204081632653
23	0.0162822834645669	0.0105502551020408
25	0.015748031496063	0.0102040816326531
25C	0.0157978346456693	0.0102363520408163
29C	0.0158251968503937	0.0102540816326531
36C	0.00838070866141732	0.00543035714285714
38C	0.0078753937007874	0.00510293367346939
51C	0.015321062992126	0.00992742346938776
551432	0.0078740157480315	0.00510204081632653
56C	0.0078740157480315	0.00510204081632653
59C	0.00889015748031496	0.00576045918367347
69C	0.015748031496063	0.0102040816326531
6C	0.00793877952755905	0.00514400510204082
76C	0.00804803149606299	0.00521479591836735
80C	0.00869803149606299	0.0056359693877551
90C	0.0078740157480315	0.00510204081632653
93C	0.0078740157480315	0.00510204081632653
96C	0.0162360236220472	0.0105202806122449
BWT20	0.00768287401574803	0.0049781887755102
CLT1	0.00793385826771654	0.00514081632653061
HS09	0.00847106299212599	0.00548890306122449
HS10	0.00793562992125984	0.00514196428571429
HS8	0.00737795275590551	0.00478061224489796
