SAMPLE ID	FS	PFS
102C	0.0078740157480315	0.00510204081632653
103C	0.00876988188976378	0.00567808673469388
106C	0.00819448818897638	0.00530795068027211
109C	0.016042125984252	0.0103308418367347
112C	0.00830196850393701	0.00532289965986395
113C	0.0078996062992126	0.00511198979591837
117C	0.00884763779527559	0.00556823979591837
121C	0.0173263779527559	0.0108329166666667
122C	0.00799055118110236	0.00514734693877551
127C	0.00885177165354331	0.00561160714285714
128C	0.0161456692913386	0.0103725
12C	0.00835590551181102	0.00530683673469388
13	0.0161482283464567	0.0103762585034014
130C	0.00892834645669291	0.00555669217687075
131C	0.00856791338582677	0.00539501700680272
133C	0.00798326771653543	0.00514923469387755
136C	0.00820570866141732	0.00524333333333333
139C	0.00795807086614173	0.0051375425170068
141C	0.00792303149606299	0.00512119047619048
142C	0.0161287401574803	0.0103673724489796
143C	0.0113135826771654	0.00703505952380952
147C	0.00850807086614173	0.00545246598639456
148C	0.015748031496063	0.0102040816326531
150C	0.0106787401574803	0.00631243197278912
15514	0.00805807086614173	0.00517366496598639
15518	0.0106683070866142	0.00630641156462585
15529	0.00967125984251969	0.00625530612244898
15530	0.0144273622047244	0.00880312074829932
15545	0.00819645669291339	0.0053055612244898
15548	0.00789035433070866	0.00510839285714286
15554	0.00848405511811024	0.00549323979591837
15575	0.0167015748031496	0.0106153996598639
157C	0.0158482283464567	0.0102431037414966
159C	0.00866988188976378	0.00560984693877551
161C	0.00791535433070866	0.00511818027210884
162C	0.00817814960629921	0.00523321428571429
164C	0.0116903543307087	0.00757053571428571
169C	0.00789173228346457	0.00510892857142857
170C	0.00878622047244094	0.00568316326530612
1C	0.00790629921259843	0.00511462585034014
21C	0.00813818897637795	0.00520549319727891
23	0.0242728346456693	0.0135461734693878
25	0.00854625984251968	0.00539285714285714
25C	0.0157952755905512	0.0102226445578231
29C	0.0157576771653543	0.0102078656462585
36C	0.00807854330708662	0.00522890306122449
38C	0.00840452755905512	0.00533062925170068
51C	0.0157472440944882	0.0101954081632653
551432	0.00842322834645669	0.00533918367346939
56C	0.0078742125984252	0.00510212585034014
59C	0.00790255905511811	0.00511336734693878
69C	0.015769094488189	0.0102123384353741
6C	0.00813641732283465	0.00520405612244898
76C	0.00839330708661417	0.00543852040816326
80C	0.007925	0.00512186224489796
90C	0.0078753937007874	0.00510263605442177
93C	0.0078765748031496	0.0051031462585034
96C	0.0163956692913386	0.0104710969387755
BWT20	0.00788405511811024	0.00510594387755102
CLT1	0.00790295275590551	0.00511364795918367
HS09	0.00793976377952756	0.00512760204081633
HS10	0.00793779527559055	0.00512683673469388
HS8	0.00792992125984252	0.00512619047619048
