SAMPLE ID	FS	PFS
102C	0.00409783464566929	0.00265522959183673
103C	0.00174389763779528	0.00112997448979592
106C	0.00439429133858268	0.00284732142857143
109C	0.00613149606299213	0.00397295918367347
112C	1.96850393700787e-07	1.27551020408163e-07
113C	0.00015255905511811	9.88520408163265e-05
117C	0.00740393700787402	0.00479744897959184
121C	0.00207795275590551	0.00134642857142857
122C	0.00789724409448819	0.00511709183673469
127C	0.00530275590551181	0.0034359693877551
128C	0.015748031496063	0.0102040816326531
12C	0.0036251968503937	0.00234897959183673
13	0.0111468503937008	0.00722270408163265
130C	0.0078757874015748	0.0051031887755102
131C	0.0066509842519685	0.00430956632653061
133C	0.00624370078740157	0.00404566326530612
136C	0.00288602362204724	0.00187002551020408
139C	0.00779429133858268	0.00505038265306122
141C	0.00698248031496063	0.00452436224489796
142C	0.00926732283464567	0.00600484693877551
143C	0.00328326771653543	0.00212742346938776
147C	0.00920137795275591	0.00596211734693877
148C	0.00772322834645669	0.00500433673469388
150C	0.0157659448818898	0.0102156887755102
15514	0.00758070866141732	0.00491198979591837
15518	0	0
15529	0.00775196850393701	0.00502295918367347
15545	0.00649212598425197	0.00420663265306122
15554	0.0054992125984252	0.00356326530612245
15575	0.0045753937007874	0.00296466836734694
157C	0.00796102362204724	0.00515841836734694
159C	0.00734704724409449	0.00476058673469388
161C	0.00548405511811024	0.00355344387755102
162C	0.00782007874015748	0.00506709183673469
164C	0.00379586614173228	0.00245956632653061
169C	0.0105374015748031	0.00682780612244898
170C	0.00438917322834646	0.00284400510204082
1C	0.00393267716535433	0.00254821428571429
21C	0.00701141732283465	0.00454311224489796
23	0.00620944881889764	0.0040234693877551
25	0.00892303149606299	0.00578176020408163
25C	0.00257303149606299	0.0016672193877551
29C	0.00782854330708662	0.00507257653061224
36C	0.0148234251968504	0.00960497448979592
38C	0.00454803149606299	0.0029469387755102
51C	0.00669822834645669	0.00434017857142857
56C	0.00477322834645669	0.00309285714285714
59C	0.0123242125984252	0.00798558673469388
69C	0.00755374015748032	0.00489451530612245
6C	0.00195531496062992	0.00126696428571429
76C	0.00459448818897638	0.00297704081632653
80C	0.00590452755905512	0.00382589285714286
90C	0.00787834645669291	0.00510484693877551
93C	0.00276397637795276	0.00179094387755102
96C	0.00208543307086614	0.00135127551020408
CLT1	0	0
HS09	0.00402244094488189	0.00260637755102041
HS10	0.00780157480314961	0.00505510204081633
HS8	9.52755905511811e-05	6.1734693877551e-05
