SAMPLE ID	FS	PFS
102C	0.0461429133858268	0.022430212585034
103C	0.0487712598425197	0.0252626870748299
106C	0.0603344488188976	0.0293087840136054
109C	0.0626405511811024	0.0305524404761905
112C	0.0288547244094488	0.0126331802721088
113C	0.0404681102362205	0.0190684183673469
117C	0.0479927165354331	0.022295306122449
121C	0.0580767716535433	0.0259362244897959
122C	0.0484637795275591	0.0224733418367347
127C	0.0590667322834646	0.0262342772108844
128C	0.0643586614173228	0.0328547193877551
12C	0.0495734251968504	0.0226576700680272
13	0.0614431102362205	0.0314234013605442
130C	0.054773031496063	0.0278213860544218
131C	0.0706537401574803	0.0333359268707483
133C	0.0453031496062992	0.0212924234693878
136C	0.0525889763779528	0.0242521088435374
139C	0.0451543307086614	0.0220069472789116
141C	0.0283090551181102	0.014323537414966
142C	0.0442887795275591	0.0228456462585034
143C	0.0808966535433071	0.0396675085034014
147C	0.0503584645669291	0.0253569217687075
148C	0.0672456692913386	0.0318762670068027
150C	0.0488574803149606	0.024630306122449
15514	0.0591316929133858	0.0271960459183673
15518	0.055494094488189	0.0273410969387755
15529	0.061163188976378	0.0296414370748299
15530	0.0631842519685039	0.0306449149659864
15545	0.0709301181102362	0.0334742006802721
15548	0.0723588582677165	0.0329341241496599
15554	0.0693653543307087	0.0338743962585034
15575	0.0553312992125984	0.0255103146258503
157C	0.0553982283464567	0.0270378146258503
159C	0.0550856299212598	0.0256000425170068
161C	0.0411582677165354	0.0205761479591837
162C	0.0513267716535433	0.0234428826530612
164C	0.0485807086614173	0.0236270578231292
169C	0.0532470472440945	0.0251221428571429
170C	0.0636783464566929	0.0285338095238095
1C	0.0590446850393701	0.0279228571428571
21C	0.0388236220472441	0.0177412159863946
23	0.0561793307086614	0.0266854421768707
25	0.0687346456692913	0.0339342517006803
25C	0.0547866141732284	0.0247225255102041
29C	0.0504464566929134	0.0254216496598639
36C	0.0623468503937008	0.030054880952381
38C	0.065186220472441	0.030498869047619
51C	0.0707	0.0324034013605442
56C	0.0363385826771654	0.0175840986394558
59C	0.0422777559055118	0.021877193877551
69C	0.0385143700787402	0.0189920153061225
6C	0.0480647637795276	0.022369056122449
76C	0.0432834645669291	0.0220859693877551
80C	0.0361687007874016	0.0175939965986395
90C	0.0424196850393701	0.0195038095238095
93C	0.0221679133858268	0.00973414965986395
96C	0.0298879921259842	0.0145053231292517
BWT20	0.0172360236220472	0.00976176020408163
CLT1	0.0188336614173228	0.0108047023809524
HS09	0.0290594488188976	0.0137178741496599
HS10	0.0466694881889764	0.0230435969387755
HS8	0.010198031496063	0.00617100340136054
