SAMPLE ID	FS	PFS
102C	0.0078740157480315	0.00510204081632653
103C	0.00836122047244094	0.00541772959183673
106C	0.00860196850393701	0.00557372448979592
109C	0.0157484251968504	0.0102043367346939
112C	0.0078742125984252	0.00510216836734694
113C	0.00785531496062992	0.00508992346938775
117C	0.0078740157480315	0.00510204081632653
121C	0.0140224409448819	0.0090859693877551
122C	0.0078740157480315	0.00510204081632653
127C	0.00855925196850394	0.00554604591836735
128C	0.0157301181102362	0.0101924744897959
12C	0.00826751968503937	0.00535701530612245
13	0.01575	0.0102053571428571
130C	0.00806889763779528	0.00522831632653061
131C	0.0078740157480315	0.00510204081632653
133C	0.0078740157480315	0.00510204081632653
136C	0.00789409448818898	0.00511505102040816
139C	0.00787775590551181	0.00510446428571429
141C	0.00787696850393701	0.00510395408163265
142C	0.0144570866141732	0.00936760204081633
143C	0.00820492125984252	0.00531645408163265
147C	0.00867972440944882	0.00562410714285714
148C	0.0126990157480315	0.00822844387755102
150C	0.0078755905511811	0.0051030612244898
15514	0.00828838582677165	0.00537053571428571
15518	0.0078740157480315	0.00510204081632653
15529	0.0078740157480315	0.00510204081632653
15530	0.00841909448818898	0.00545522959183673
15545	0.00822027559055118	0.00532640306122449
15548	0.00855137795275591	0.00554094387755102
15554	0.0078740157480315	0.00510204081632653
15575	0.0157484251968504	0.0102043367346939
157C	0.015748031496063	0.0102040816326531
159C	0.0085005905511811	0.00550803571428571
161C	0.0078740157480315	0.00510204081632653
162C	0.0078740157480315	0.00510204081632653
164C	0.00889055118110236	0.00576071428571429
169C	0.00787834645669291	0.00510484693877551
170C	0.00845314960629921	0.00547729591836735
1C	0.00787874015748031	0.00510510204081633
21C	0.0078740157480315	0.00510204081632653
23	0.0137354330708661	0.0089
25	0.00798248031496063	0.00517232142857143
25C	0.0157513779527559	0.01020625
29C	0.015748031496063	0.0102040816326531
36C	0.00957637795275591	0.00620510204081633
38C	0.0078742125984252	0.00510216836734694
51C	0.0144342519685039	0.00935280612244898
551432	0.0078742125984252	0.00510216836734694
56C	0.0078742125984252	0.00510216836734694
59C	0.00846594488188976	0.00548558673469388
69C	0.015748031496063	0.0102040816326531
6C	0.00815393700787402	0.00528341836734694
76C	0.00823051181102362	0.00533303571428571
80C	0.00808484251968504	0.00523864795918367
90C	0.00807322834645669	0.00523112244897959
93C	0.0078740157480315	0.00510204081632653
96C	0.0142409448818898	0.00922755102040816
BWT20	0.0074238188976378	0.00481033163265306
CLT1	0.0078740157480315	0.00510204081632653
HS09	0.00787814960629921	0.0051047193877551
HS10	0.0078755905511811	0.0051030612244898
HS8	0.00746555118110236	0.00483737244897959
